File,H2O_ppmv,CO2_ppmv,CO_ppmv,NO_ppmv,NO2_ppmv,NH3_ppmv,CH4_ppmv
20250514_TEST_001_DIESEL_EXTENDED_R4_1570.spc,13156.8603515625,151489.75,22.427038192749023,31.071880340576172,6.025228500366211,4.3729023933410645,16.505577087402344
20250514_TEST_001_DIESEL_EXTENDED_R4_1571.spc,14018.431640625,159653.484375,23.042827606201172,32.05439758300781,6.218533515930176,4.52332067489624,16.748611450195312
20250514_TEST_001_DIESEL_EXTENDED_R4_1572.spc,14241.1884765625,156667.34375,23.23246192932129,32.592376708984375,6.300961017608643,4.615095138549805,16.667583465576172
20250514_TEST_001_DIESEL_EXTENDED_R4_1573.spc,13997.203125,148472.828125,23.166053771972656,32.734580993652344,6.30742883682251,4.655885219573975,16.422941207885742
20250514_TEST_001_DIESEL_EXTENDED_R4_1574.spc,13553.345703125,139513.84375,22.994245529174805,32.65225601196289,6.2786431312561035,4.666775226593018,16.13770294189453
20250514_TEST_001_DIESEL_EXTENDED_R4_1575.spc,13132.5390625,131894.015625,22.80594825744629,32.52328109741211,6.240647792816162,4.664851665496826,15.88232135772705
20250514_TEST_001_DIESEL_EXTENDED_R4_1576.spc,12791.5751953125,126044.484375,22.64150619506836,32.40458679199219,6.205850124359131,4.65860652923584,15.677276611328125
20250514_TEST_001_DIESEL_EXTENDED_R4_1577.spc,12515.7138671875,121727.796875,22.509323120117188,32.289859771728516,6.177363395690918,4.6511688232421875,15.519335746765137
20250514_TEST_001_DIESEL_EXTENDED_R4_1578.spc,12319.345703125,118658.5078125,22.409278869628906,32.20829772949219,6.156267166137695,4.64487361907959,15.404159545898438
20250514_TEST_001_DIESEL_EXTENDED_R4_1579.spc,12183.244140625,116529.78125,22.337106704711914,32.151031494140625,6.141229152679443,4.639987468719482,15.323104858398438
20250514_TEST_001_DIESEL_EXTENDED_R4_1580.spc,12074.8515625,115019.8046875,22.285463333129883,32.096744537353516,6.13054084777832,4.635948181152344,15.2644681930542
20250514_TEST_001_DIESEL_EXTENDED_R4_1581.spc,12010.0732421875,113995.8046875,22.248950958251953,32.069122314453125,6.123218059539795,4.633296012878418,15.22514533996582
20250514_TEST_001_DIESEL_EXTENDED_R4_1582.spc,11952.5595703125,113248.6640625,22.222986221313477,32.036521911621094,6.118154525756836,4.631028652191162,15.19609260559082
20250514_TEST_001_DIESEL_EXTENDED_R4_1583.spc,11925.9140625,112766.0546875,22.205434799194336,32.027652740478516,6.115089416503906,4.629868507385254,15.178316116333008
20250514_TEST_001_DIESEL_EXTENDED_R4_1584.spc,11910.5576171875,112448.609375,22.1939697265625,32.023834228515625,6.113181114196777,4.62914514541626,15.167157173156738
20250514_TEST_001_DIESEL_EXTENDED_R4_1585.spc,11902.3583984375,112224.9140625,22.18696403503418,32.025474548339844,6.112176418304443,4.628727912902832,15.159377098083496
20250514_TEST_001_DIESEL_EXTENDED_R4_1586.spc,11897.341796875,112079.234375,22.182342529296875,32.02595138549805,6.1115593910217285,4.628446578979492,15.154681205749512
20250514_TEST_001_DIESEL_EXTENDED_R4_1587.spc,11896.138671875,111983.9296875,22.180341720581055,32.02996826171875,6.111530303955078,4.6284098625183105,15.151904106140137
20250514_TEST_001_DIESEL_EXTENDED_R4_1588.spc,11894.1533203125,111907.3828125,22.178489685058594,32.03053665161133,6.11110258102417,4.628190517425537,15.149563789367676
20250514_TEST_001_DIESEL_EXTENDED_R4_1589.spc,11888.3359375,111843.6875,22.17662811279297,32.02707290649414,6.11095666885376,4.628050804138184,15.147407531738281
20250514_TEST_001_DIESEL_EXTENDED_R4_1590.spc,11868.3740234375,111766.921875,22.175031661987305,32.00743865966797,6.110633850097656,4.627663612365723,15.143997192382812
20250514_TEST_001_DIESEL_EXTENDED_R4_1591.spc,11850.841796875,111692.1171875,22.17286491394043,31.989887237548828,6.110302925109863,4.627156734466553,15.140848159790039
20250514_TEST_001_DIESEL_EXTENDED_R4_1592.spc,11852.6728515625,111676.671875,22.171876907348633,31.991365432739258,6.11016845703125,4.6272196769714355,15.140787124633789
20250514_TEST_001_DIESEL_EXTENDED_R4_1593.spc,11847.4853515625,111650.5859375,22.17087745666504,31.986055374145508,6.110165596008301,4.627019882202148,15.139870643615723
20250514_TEST_001_DIESEL_EXTENDED_R4_1594.spc,11853.4638671875,111665.4921875,22.17072296142578,31.992332458496094,6.110256671905518,4.627263069152832,15.140987396240234
20250514_TEST_001_DIESEL_EXTENDED_R4_1595.spc,11863.7109375,111687.0078125,22.171894073486328,32.00364685058594,6.1104278564453125,4.627627372741699,15.142492294311523
20250514_TEST_001_DIESEL_EXTENDED_R4_1596.spc,11862.5908203125,111670.1796875,22.171710968017578,32.00340270996094,6.110394477844238,4.627467632293701,15.141902923583984
20250514_TEST_001_DIESEL_EXTENDED_R4_1597.spc,11868.5439453125,111681.0390625,22.17203140258789,32.01077651977539,6.110457420349121,4.627686500549316,15.142749786376953
